match_id,date,season,venue,winner,win_by,match_type,player_of_match,umpire_1,umpire_2
1416496,2024-03-08,2024,Rawalpindi Cricket Stadium,Peshawar Zalmi,runs 76,regular,Saim Ayub,AG Wharf,Asif Yaqoob
1416497,2024-03-09,2024,"National Stadium, Karachi",Karachi Kings,wickets 3,regular,Irfan Khan,Rashid Riaz,RK Illingworth
1416498,2024-03-10,2024,Rawalpindi Cricket Stadium,Islamabad United,wickets 3,regular,C Munro,Mohammad Asif,RSA Palliyaguruge
1416499,2024-03-10,2024,"National Stadium, Karachi",Quetta Gladiators,wickets 6,regular,Saud Shakeel,CB Gaffaney,Rashid Riaz
1416500,2024-03-11,2024,"National Stadium, Karachi",Peshawar Zalmi,runs 2,regular,Babar Azam,AG Wharf,Faisal Afridi
1416501,2024-03-12,2024,"National Stadium, Karachi",Multan Sultans,runs 79,regular,Mohammad Rizwan,Rashid Riaz,RK Illingworth
1416502,2024-03-14,2024,"National Stadium, Karachi",Multan Sultans,wickets 7,qualifier,Usama Mir,Aleem Dar,RK Illingworth
1416503,2024-03-15,2024,"National Stadium, Karachi",Islamabad United,runs 39,eliminator,Imad Wasim,Ahsan Raza,CB Gaffaney
1416504,2024-03-16,2024,"National Stadium, Karachi",Islamabad United,wickets 5,eliminator,Imad Wasim,Asif Yaqoob,RK Illingworth
1416505,2024-03-18,2024,"National Stadium, Karachi",Islamabad United,wickets 2,final,Imad Wasim,Ahsan Raza,CB Gaffaney
1475238,2025-04-11,2025,Rawalpindi Cricket Stadium,Islamabad United,wickets 8,regular,JO Holder,Ahsan Raza,CM Brown
1475239,2025-04-12,2025,Rawalpindi Cricket Stadium,Quetta Gladiators,runs 80,regular,Abrar Ahmed,Ahsan Raza,Rashid Riaz
1475240,2025-04-12,2025,"National Stadium, Karachi",Karachi Kings,wickets 4,regular,JM Vince,AG Wharf,Asif Yaqoob
1475241,2025-04-13,2025,Rawalpindi Cricket Stadium,Lahore Qalandars,runs 79,regular,Fakhar Zaman,Ahsan Raza,CM Brown
1475242,2025-04-14,2025,Rawalpindi Cricket Stadium,Islamabad United,runs 102,regular,Sahibzada Farhan,Aleem Dar,Nasir Hussain
1475243,2025-04-15,2025,"National Stadium, Karachi",Lahore Qalandars,runs 65,regular,Fakhar Zaman,Abdul Muqeet,PR Reiffel
1475244,2025-04-16,2025,Rawalpindi Cricket Stadium,Islamabad United,runs 47,regular,JO Holder,Ahsan Raza,CM Brown
1475245,2025-04-18,2025,"National Stadium, Karachi",Karachi Kings,runs 56,regular,JM Vince,PR Reiffel,Tariq Rasheed
1475246,2025-04-19,2025,Rawalpindi Cricket Stadium,Peshawar Zalmi,runs 120,regular,Abdul Samad,Aleem Dar,CM Brown
1475247,2025-04-20,2025,"National Stadium, Karachi",Islamabad United,wickets 6,regular,Shadab Khan,AG Wharf,Asif Yaqoob
1475248,2025-04-21,2025,"National Stadium, Karachi",Karachi Kings,wickets 2,regular,Khushdil Shah,Faisal Afridi,PR Reiffel
1475249,2025-04-22,2025,Multan Cricket Stadium,Multan Sultans,runs 33,regular,Yasir Khan,CM Brown,Rashid Riaz
1475250,2025-04-23,2025,Multan Cricket Stadium,Islamabad United,wickets 7,regular,AGS Gous,Ahsan Raza,CM Brown
1475251,2025-04-24,2025,"Gaddafi Stadium, Lahore",Peshawar Zalmi,wickets 7,regular,AS Joseph,AG Wharf,Asif Yaqoob
1475252,2025-04-25,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,runs 5,regular,Abrar Ahmed,Nasir Hussain,PR Reiffel
1475253,2025-04-26,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,wickets 5,regular,DJ Mitchell,Ahsan Raza,AG Wharf
1475254,2025-04-27,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,runs 64,regular,Faheem Ashraf,AG Wharf,Rashid Riaz
1475255,2025-04-29,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,wickets 10,regular,Khurram Shahzad,Ahsan Raza,Faisal Afridi
1475256,2025-04-30,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,runs 88,regular,Sikandar Raza,Asif Yaqoob,PR Reiffel
1475257,2025-05-01,2025,"Gaddafi Stadium, Lahore",Karachi Kings,runs 87,regular,JM Vince,AG Wharf,Rashid Riaz
1475258,2025-05-01,2025,"Gaddafi Stadium, Lahore",No result,no result,regular,,Faisal Afridi,PR Reiffel
1475259,2025-05-02,2025,"Gaddafi Stadium, Lahore",Peshawar Zalmi,wickets 6,regular,Maaz Sadaqat,AG Wharf,Faisal Afridi
1475260,2025-05-03,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,wickets 2,regular,Hassan Nawaz,AG Wharf,Rashid Riaz
1475261,2025-05-04,2025,"Gaddafi Stadium, Lahore",Karachi Kings,wickets 4,regular,Irfan Khan,Ahsan Raza,AG Wharf
1475262,2025-05-05,2025,Multan Cricket Stadium,Peshawar Zalmi,wickets 7,regular,Ahmed Daniyal,Abdul Muqeet,PR Reiffel
1475263,2025-05-07,2025,Rawalpindi Cricket Stadium,Quetta Gladiators,runs 109,regular,RR Rossouw,Faisal Afridi,HDPK Dharmasena
1475264,2025-05-17,2025,Rawalpindi Cricket Stadium,Karachi Kings,runs 23,regular,DA Warner,Ahsan Raza,Asif Yaqoob
1475265,2025-05-18,2025,Rawalpindi Cricket Stadium,Quetta Gladiators,wickets 2,regular,Hassan Nawaz,Asif Yaqoob,Faisal Afridi
1475266,2025-05-18,2025,Rawalpindi Cricket Stadium,Lahore Qalandars,runs 26,regular,Salman Mirza,Ahsan Raza,Rashid Riaz
1475267,2025-05-19,2025,Rawalpindi Cricket Stadium,Islamabad United,runs 79,regular,AD Hales,Faisal Afridi,Rashid Riaz
1475268,2025-05-21,2025,"Gaddafi Stadium, Lahore",Quetta Gladiators,runs 30,qualifier,Faheem Ashraf,Aleem Dar,Asif Yaqoob
1475269,2025-05-22,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,wickets 6,eliminator,Abdullah Shafique,Faisal Afridi,Rashid Riaz
1475270,2025-05-23,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,runs 95,qualifier,Salman Mirza,Asif Yaqoob,Faisal Afridi
1475271,2025-05-25,2025,"Gaddafi Stadium, Lahore",Lahore Qalandars,wickets 6,final,MDKJ Perera,Asif Yaqoob,Rashid Riaz
959175,2016-02-04,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 8,regular,Mohammad Nawaz (3),JS Wilson,Shozab Raza
959177,2016-02-05,2016,Dubai International Cricket Stadium,Karachi Kings,wickets 7,regular,Shakib Al Hasan,JS Wilson,Rashid Riaz
959179,2016-02-05,2016,Dubai International Cricket Stadium,Peshawar Zalmi,runs 24,regular,Mohammad Asghar,Shozab Raza,Rashid Riaz
959181,2016-02-06,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 8,regular,Ahmed Shehzad,Shozab Raza,Rashid Riaz
959183,2016-02-06,2016,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 9,regular,Tamim Iqbal,JS Wilson,Rashid Riaz
959185,2016-02-07,2016,Dubai International Cricket Stadium,Islamabad United,runs 2,regular,Saeed Ajmal,JS Wilson,Rashid Riaz
959187,2016-02-07,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 3,regular,Mohammad Nawaz (3),Shozab Raza,Rashid Riaz
959189,2016-02-08,2016,Dubai International Cricket Stadium,Lahore Qalandars,runs 63,regular,Umar Akmal,JS Wilson,Aleem Dar
959191,2016-02-10,2016,Sharjah Cricket Stadium,Islamabad United,wickets 8,regular,Sharjeel Khan,JS Wilson,Aleem Dar
959195,2016-02-11,2016,Sharjah Cricket Stadium,Quetta Gladiators,wickets 7,regular,GD Elliott,JS Wilson,Aleem Dar
959197,2016-02-12,2016,Sharjah Cricket Stadium,Karachi Kings,runs 27,regular,RS Bopara,JS Wilson,Aleem Dar
959199,2016-02-12,2016,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 7,regular,Tamim Iqbal,Shozab Raza,Rashid Riaz
959201,2016-02-13,2016,Sharjah Cricket Stadium,Quetta Gladiators,wickets 5,regular,GD Elliott,Shozab Raza,Rashid Riaz
959203,2016-02-13,2016,Sharjah Cricket Stadium,Lahore Qalandars,runs 4,regular,CS Delport,JS Wilson,Aleem Dar
959205,2016-02-14,2016,Sharjah Cricket Stadium,Islamabad United,wickets 5,regular,Imran Khalid,JS Wilson,Aleem Dar
959207,2016-02-14,2016,Sharjah Cricket Stadium,Peshawar Zalmi,wickets 8,regular,Shahid Afridi,Ahmed Shahab,Shozab Raza
959209,2016-02-16,2016,Dubai International Cricket Stadium,Quetta Gladiators,wickets 2,regular,Bismillah Khan,JS Wilson,Aleem Dar
959211,2016-02-17,2016,Dubai International Cricket Stadium,Peshawar Zalmi,wickets 5,regular,BJ Hodge,Shozab Raza,Ahsan Raza
959213,2016-02-17,2016,Dubai International Cricket Stadium,Islamabad United,wickets 5,regular,Mohammad Irfan,JS Wilson,Aleem Dar
959215,2016-02-19,2016,Dubai International Cricket Stadium,Quetta Gladiators,runs 1,qualifier,Mohammad Nawaz (3),Shozab Raza,Aleem Dar
959217,2016-02-20,2016,Dubai International Cricket Stadium,Islamabad United,wickets 9,qualifier,Mohammad Sami,Aleem Dar,Ahsan Raza
959219,2016-02-21,2016,Dubai International Cricket Stadium,Islamabad United,runs 50,qualifier,Sharjeel Khan,JS Wilson,Aleem Dar
959221,2016-02-23,2016,Dubai International Cricket Stadium,Islamabad United,wickets 6,final,DR Smith,JS Wilson,Aleem Dar
